temp,humidity,windspeed,sealevelpressure,PM2.5
4,78.89,14.3,1035,26
4.1,76.91,25,1034.3,49
6.4,65.22,13.7,1028.3,59
7,74.53,28.2,1016.2,40
0.4,85.72,18.9,1019.2,26
-0.9,74.09,18.8,1029.8,38
0.9,64.34,38.5,1021.7,32
-0.3,71.61,17.2,1019.1,41
-2.4,70.35,14.4,1021.9,55
-2.1,64.04,15.9,1021.3,57
-0.5,71.55,20.1,1013.5,43
5.6,73.86,41.6,1007.2,16
5.6,64.41,39,1006.5,10
6.6,65.89,35.8,1004.8,12
2.9,75.34,10.9,1008.6,49
1.8,83.77,23.3,1011.1,70
3.3,73.89,25.8,1015.8,25
1.4,65.88,25.6,1018.1,20
-1.8,85.06,17.8,1017.5,58
-2,62.67,15.9,1023.4,26
-2.2,79.08,38.6,1014.8,35
1.5,66.22,19.7,1015,23
3.6,71.76,24.1,1019.7,37
5,75.82,24.9,1022.8,40
5.1,72.24,10.8,1021.9,64
6.6,67.94,13.5,1022.3,73
8.6,68.43,36.7,1020.7,41
5.6,66.79,26.1,1029.7,22
6.2,74.29,23.4,1031.2,36
10.8,87.55,10.9,1029.9,44
12.7,74.53,10.7,1025.1,43
14.1,63.41,24.3,1015,32
7.9,70,22.4,1014.7,20
4.2,73.3,23.1,1015.2,33
2.9,68.56,17,1020.1,21
5.2,62.3,39.4,1005.2,14
0.4,77.51,25.1,1006.1,19
0.2,81.75,36.4,1009.2,25
1,84.03,34.5,1018.3,24
4.4,64.43,28.9,1022.3,19
10.2,51.73,23.8,1016.7,15
9.9,64.88,31.8,1017.3,20
10,72.9,23.1,1017.3,19
2.4,88.05,19.8,1024.3,20
2,87.73,21.1,1021.8,23
2.1,90.19,21.1,1019.6,22
2.5,93.25,25.1,1018.7,28
3.7,93.06,16.9,1019.6,30
6.3,85.08,11,1019.1,36
6.8,90.76,13.5,1016.9,55
8.6,80.75,13.5,1014,33
9.7,74.86,28.6,1013.3,39
7.6,70.91,24,1015.9,24
4.5,74.87,30.5,1022.5,20
7.7,60.44,23.4,1022.8,20
6.8,54.46,25,1020.1,21
4.1,53.24,23.3,1019.5,22
5.4,48.82,21,1016,19
8.5,46.28,24.2,1011.8,19
11.7,60.8,23.7,1007.1,24
13.8,66.19,20.8,1009.5,15
9.8,80.76,17,1012.1,31
9.8,86.71,42.3,1005.8,18
7.4,64.5,36.8,1017.1,13
10.1,57.09,32,1012.3,11
12.8,60.66,33,1003.7,7
9,60.39,35.2,1010,6
9.9,72.24,39.6,1007.3,6
7.4,62.92,26,1019.5,12
12.5,57.34,12,1018.8,15
17.3,50.72,17.6,1014.7,4
19.7,54.91,21.8,1011.2,10
19.5,56.45,33.2,1005.4,10
15.3,76.12,19.8,1000.5,16
13.4,85.88,29.4,1003.6,16
14.1,73.99,19.7,1009.3,11
12.6,83.99,19.6,1006.3,8
11.4,89.4,14.3,1004.5,12
11.4,87.37,23.1,1007.4,15
11.6,78.69,20.6,1011.9,16
13.2,60.16,22.7,1015.1,12
13.3,63.89,24.6,1013.9,10
12.3,80.36,28,1009.6,8
11.1,81.35,21.4,1015.1,8
13.6,68.11,17.5,1020.1,8
12.1,84.91,34,1015.2,10
13.1,59.27,25.4,1017.6,4
14.3,60.46,30.5,1015.5,5
13,66.54,21.5,1018.6,10
10.7,81.83,33.3,1019.5,14
12,74.44,22.5,1021,14
13,64.29,22.6,1020.5,13
12.4,60.28,10.8,1019.2,12
13.8,58.84,19.8,1022,12
15.2,58.37,14.6,1024.9,13
17.1,57.94,12.7,1024.2,12
17,74.78,22.4,1020.1,17
17.5,68.09,14.2,1019,15
18.8,58.68,16.3,1019.1,13
19.1,58.5,14.1,1018.4,16
19.6,61.84,23.1,1018.1,14
18.7,59.34,19.7,1018.1,9
17.3,74.46,24.8,1016.7,14
17.9,78.69,27.5,1014.2,15
14.3,70.86,34,1018.6,7
15.9,60.41,21.3,1021.6,6
17.4,62.45,10.8,1019.1,11
20.1,62.18,17.5,1018.5,14
21.8,61.69,23.1,1019.5,16
23.1,57.31,15.5,1018.8,14
24.3,59.35,22.7,1016.4,12
24,61.67,22.3,1013.1,10
25.1,62.29,17.9,1008.9,10
23.8,73.55,25.8,1009.5,13
22.3,84.52,13.4,1016.8,20
23.9,79.04,34.3,1015.5,19
19.3,85.3,20.9,1015.5,12
19,83.38,17.7,1017.4,18
19.3,79.17,14.2,1017.5,16
21.1,68.57,11.7,1017.2,16
21.9,71.37,21.7,1013,16
21.9,71.83,25.1,1009,7
18.5,80.45,21.4,1011.1,10
18.1,77.51,20.9,1013.4,10
18,79.2,21.2,1013.5,13
19.6,68.4,14.3,1011.9,14
20.7,64.31,17,1010.7,14
22.6,65.38,13.4,1013.7,14
25.2,61.37,11.8,1015.3,15
24.6,69.61,18.9,1019,14
24.2,75.41,28.6,1015.7,17
20.2,68.19,14.4,1018.7,4
20.1,80.84,21.6,1017.1,12
18.2,92.1,20.7,1015.2,12
22.6,78.3,21.5,1011.2,16
25,73.04,18.9,1010.3,20
21.2,87.26,19.7,1012.6,12
23,81.47,13.9,1013.9,16
23,81.1,20.2,1014.2,13
22,87.16,14.3,1013.9,17
